         373333 function calls (372713 primitive calls) in 2.489 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:911(create_module)
      173    0.001    0.000    0.001    0.000 posixpath.py:39(_get_sep)
      481    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:374(_verbose_message)
        9    0.001    0.000    0.001    0.000 datetime.py:338(__new__)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
        5    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
      186    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x5621d1eafe80}
        1    0.000    0.000    0.001    0.001 __init__.py:340(Process)
       57    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1072(_path_importer_cache)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:737(create_module)
      313    0.001    0.000    0.001    0.000 sre_parse.py:226(__next)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
      133    0.001    0.000    0.001    0.000 _common.py:305(cache_deactivate)
       73    0.001    0.000    0.001    0.000 signal.py:10(<lambda>)
      149    0.001    0.000    0.001    0.000 sre_parse.py:165(append)
       52    0.000    0.000    0.001    0.000 {built-in method builtins.any}
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      233    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1218(_get_spec)
      140    0.001    0.000    0.001    0.000 sre_parse.py:153(__len__)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       20    0.000    0.000    0.001    0.000 sre_parse.py:90(closegroup)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      117    0.000    0.000    0.001    0.000 sre_parse.py:276(tell)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:856(__exit__)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:852(__enter__)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:170(__exit__)
       19    0.000    0.000    0.001    0.000 __init__.py:696(status)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:716(find_spec)
       19    0.000    0.000    0.001    0.000 _pslinux.py:1150(oneshot_exit)
      107    0.001    0.000    0.001    0.000 {method 'split' of 'bytes' objects}
       11    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
      303    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       29    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
      189    0.000    0.000    0.001    0.000 sre_parse.py:242(match)
       19    0.000    0.000    0.001    0.000 _pslinux.py:1155(name)
      143    0.001    0.000    0.001    0.000 {built-in method _locale.nl_langinfo}
       22    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
       36    0.000    0.000    0.001    0.000 sre_compile.py:386(_simple)
       57    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:94(acquire)
       38    0.000    0.000    0.001    0.000 __init__.py:1010(timer)
        1    0.000    0.000    0.001    0.001 token.py:1(<module>)
       19    0.000    0.000    0.001    0.000 contextlib.py:134(helper)
       22    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 systemd_service_mon.py:287(load_services)
       57    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
        2    0.000    0.000    0.001    0.000 __init__.py:692(cmdline)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
        1    0.000    0.000    0.001    0.001 token.py:74(<dictcomp>)
      246    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        7    0.000    0.000    0.000    0.000 _common.py:264(memoize_when_activated)
        2    0.000    0.000    0.000    0.000 _pslinux.py:1182(cmdline)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
      122    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
        2    0.000    0.000    0.000    0.000 __init__.py:1600(cpu_times)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:834(path_stats)
       80    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
        9    0.000    0.000    0.000    0.000 gettext.py:205(_expand_lang)
      201    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       20    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
       13    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
       19    0.000    0.000    0.000    0.000 __init__.py:609(ppid)
        6    0.000    0.000    0.000    0.000 __init__.py:328(_assert_pid_not_reused)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:521(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      145    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
       38    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1862(virtual_memory)
       10    0.000    0.000    0.000    0.000 enum.py:406(_find_new_)
       38    0.000    0.000    0.000    0.000 __init__.py:1449(remove)
        1    0.000    0.000    0.000    0.000 _pslinux.py:344(virtual_memory)
       19    0.000    0.000    0.000    0.000 _pslinux.py:1145(oneshot_enter)
       19    0.000    0.000    0.000    0.000 _pslinux.py:1544(status)
       19    0.000    0.000    0.000    0.000 _pslinux.py:199(decode)
       19    0.000    0.000    0.000    0.000 contextlib.py:37(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1355(add_argument_group)
      148    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      198    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      198    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:1534(__init__)
      133    0.000    0.000    0.000    0.000 _common.py:301(cache_activate)
      183    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       29    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.000    0.000 enum.py:453(Enum)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      168    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      133    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:243(load)
       10    0.000    0.000    0.000    0.000 enum.py:361(_get_mixins_)
      146    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
       37    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 __init__.py:1393(<listcomp>)
        1    0.000    0.000    0.000    0.000 datetime.py:1815(timezone)
       20    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
       24    0.000    0.000    0.000    0.000 sre_parse.py:312(_class_escape)
       19    0.000    0.000    0.000    0.000 _compat.py:26(b)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
       13    0.000    0.000    0.000    0.000 subprocess.py:1286(_handle_exitstatus)
      113    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       50    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       24    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 __init__.py:271(loads)
       13    0.000    0.000    0.000    0.000 os.py:851(fsencode)
        3    0.000    0.000    0.000    0.000 datetime.py:1319(__new__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:390(_check_name_wrapper)
       34    0.000    0.000    0.000    0.000 argparse.py:1279(register)
        1    0.000    0.000    0.000    0.000 _pslinux.py:516(per_cpu_times)
        2    0.000    0.000    0.000    0.000 _pslinux.py:184(open_text)
       40    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
       86    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:334(decode)
       13    0.000    0.000    0.000    0.000 subprocess.py:1105(_get_handles)
        3    0.000    0.000    0.000    0.000 _common.py:232(memoize)
        9    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
       41    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1055(_path_hooks)
      104    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
       56    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       26    0.000    0.000    0.000    0.000 sre_parse.py:362(_escape)
      101    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      115    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        3    0.000    0.000    0.000    0.000 argparse.py:1714(_add_action)
        1    0.000    0.000    0.000    0.000 _pslinux.py:500(cpu_times)
